Time,SoC_1,Voltage_1,Current_1,Temperature_1,SoC_2,Voltage_2,Current_2,Temperature_2,SoC_3,Voltage_3,Current_3,Temperature_3,SoC_4,Voltage_4,Current_4,Temperature_4,SoC_5,Voltage_5,Current_5,Temperature_5,SoC_6,Voltage_6,Current_6,Temperature_6,SoC_7,Voltage_7,Current_7,Temperature_7,SoC_8,Voltage_8,Current_8,Temperature_8
0:30,55.0,49144.0,1331.0,21000.0,57.0,49127.0,1200.0,20000.0,55.0,49150.0,1288.0,20000.0,55.0,49148.0,1252.0,19000.0,55.0,49115.0,818.0,18000.0,56.0,49122.0,774.0,18000.0,,,,,,,,
0:30,55.0,49119.0,1654.0,21000.0,57.0,49129.0,1488.0,20000.0,55.0,49145.0,1624.0,20000.0,55.0,49134.0,1520.0,19000.0,55.0,49119.0,1030.0,18000.0,56.0,49125.0,984.0,18000.0,,,,,,,,
0:31,55.0,49136.0,1676.0,21000.0,57.0,49132.0,1518.0,20000.0,55.0,49130.0,1518.0,20000.0,55.0,49120.0,1568.0,19000.0,55.0,49115.0,1062.0,18000.0,56.0,49099.0,1010.0,18000.0,,,,,,,,
0:31,55.0,49137.0,1046.0,21000.0,57.0,49125.0,936.0,20000.0,55.0,49144.0,1500.0,20000.0,55.0,49146.0,928.0,19000.0,55.0,49121.0,600.0,18000.0,56.0,49123.0,605.0,18000.0,,,,,,,,
0:32,55.0,49161.0,742.0,21000.0,57.0,49152.0,742.0,20000.0,55.0,49162.0,860.0,20000.0,55.0,49169.0,790.0,19000.0,55.0,49134.0,466.0,18000.0,56.0,49142.0,418.0,18000.0,,,,,,,,
0:32,55.0,49175.0,906.0,21000.0,57.0,49163.0,834.0,20000.0,55.0,49169.0,926.0,20000.0,55.0,49172.0,862.0,19000.0,55.0,49146.0,526.0,18000.0,56.0,49145.0,473.0,18000.0,,,,,,,,
0:33,55.0,49170.0,776.0,21000.0,57.0,49165.0,700.0,20000.0,54.0,49177.0,740.0,20000.0,55.0,49183.0,738.0,19000.0,55.0,49154.0,448.0,18000.0,56.0,49158.0,396.0,18000.0,,,,,,,,
0:33,55.0,49186.0,724.0,21000.0,57.0,49183.0,658.0,20000.0,54.0,49181.0,834.0,20000.0,55.0,49183.0,705.0,19000.0,55.0,49163.0,386.0,18000.0,56.0,49152.0,356.0,18000.0,,,,,,,,
0:34,55.0,49181.0,748.0,21000.0,57.0,49173.0,681.0,21000.0,54.0,49187.0,758.0,20000.0,55.0,49171.0,689.0,19000.0,55.0,49167.0,389.0,18000.0,56.0,49153.0,374.0,18000.0,,,,,,,,
0:34,55.0,49170.0,929.0,21000.0,57.0,49175.0,834.0,20000.0,54.0,49189.0,818.0,20000.0,55.0,49186.0,863.0,19000.0,55.0,49171.0,532.0,18000.0,56.0,49169.0,502.0,18000.0,,,,,,,,
0:35,55.0,49183.0,816.0,21000.0,57.0,49180.0,768.0,20000.0,54.0,49193.0,894.0,20000.0,55.0,49174.0,817.0,19000.0,55.0,49175.0,483.0,18000.0,56.0,49172.0,439.0,18000.0,,,,,,,,
0:35,55.0,49171.0,822.0,21000.0,57.0,49168.0,708.0,20000.0,54.0,49193.0,845.0,20000.0,55.0,49187.0,746.0,19000.0,55.0,49173.0,437.0,18000.0,56.0,49173.0,399.0,18000.0,,,,,,,,
